	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
150	14:04:18	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
151	14:04:19	0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
152	14:04:20	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
153	14:04:21	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
154	14:04:22	0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
155	14:04:23	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
156	14:04:24	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	751
157	14:04:25	-0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
158	14:04:26	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
159	14:04:27	-0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
160	14:04:28	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
161	14:04:29	-0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
162	14:04:30	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
163	14:04:31	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
164	14:04:32	0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
165	14:04:33	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
166	14:04:34	-0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
167	14:04:35	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
168	14:04:36	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
169	14:04:37	0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
170	14:04:38	0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
171	14:04:39	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	744
172	14:04:40	-0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
173	14:04:41	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
174	14:04:42	-0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
175	14:04:43	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
176	14:04:44	-0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
177	14:04:45	-0.001	-0.002	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
178	14:04:46	-0.000	-0.002	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
179	14:04:47	0.000	-0.002	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
